ID,Gender,Owns_Car,Owns_Property,Children_Count,Income,Income_Type,Education_Level,Marital_Status,Housing_Type,Age,Employment_Duration,Occupation,Family_Size,Risk_Level,Account_Age,Is_Unemployed
5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,58.8,3.1,Security staff,2.0,0,29,0
5008808,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.3,8.4,Sales staff,1.0,0,4,0
5008809,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.3,8.4,Sales staff,1.0,0,26,0
5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.3,8.4,Sales staff,1.0,0,26,0
5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.3,8.4,Sales staff,1.0,0,38,0
5008812,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61.5,,Unknown,1.0,0,20,1
5008813,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61.5,,Unknown,1.0,0,16,1
5008814,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61.5,,Unknown,1.0,0,17,1
5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.2,2.1,Accountants,2.0,0,5,0
5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.2,2.1,Accountants,2.0,0,42,0
5008819,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.7,3.3,Laborers,2.0,0,17,0
5008820,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.7,3.3,Laborers,2.0,0,16,0
5008821,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.7,3.3,Laborers,2.0,0,8,0
5008822,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.7,3.3,Laborers,2.0,0,22,0
5008823,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.7,3.3,Laborers,2.0,0,7,0
5008824,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.7,3.3,Laborers,2.0,0,3,0
5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.2,3.0,Accountants,2.0,1,25,0
5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.2,3.0,Accountants,2.0,1,30,0
5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.5,4.0,Laborers,2.0,1,31,0
5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.5,4.0,Laborers,2.0,1,19,0
5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.5,4.0,Laborers,2.0,1,34,0
5008834,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30.0,4.4,Unknown,2.0,0,44,0
5008835,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30.0,4.4,Unknown,2.0,0,44,0
5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,43,0
5008846,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,11,0
5008847,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,46,0
5008849,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,51,0
5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,25,0
5008851,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,11,0
5008852,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,0,0
5008853,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.1,12.2,Drivers,2.0,0,39,0
5008854,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,39,0
5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,28,0
5008856,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,3,0
5008857,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,27,0
5008858,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,10,0
5008859,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,4,0
5008860,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,3,0
5008861,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,3,0
5008862,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,2,0
5008863,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,2,0
5008864,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,2,0
5008865,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,8,0
5008866,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,19,0
5008867,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,25,0
5112846,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,Laborers,4.0,0,18,0
5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.4,19.4,Core staff,3.0,0,24,0
5008870,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.4,19.4,Core staff,3.0,0,20,0
5008872,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.6,14.7,Security staff,2.0,1,10,0
5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,21,0
5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,45,0
5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,39,0
5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,43,0
5008877,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,7,0
5008878,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,1,43,0
5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,21,0
5008880,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,10,0
5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,19,0
5008882,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,Managers,4.0,0,45,0
5008884,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3,,Unknown,1.0,0,40,1
